Date,Open,High,Low,Close,Adj Close,Volume
2012-12-21,1648.000000,1666.699951,1635.800049,1662.599976,1662.599976,382
2012-12-28,1664.000000,1693.800049,1653.699951,1673.699951,1673.699951,767
2013-01-04,1647.000000,1677.300049,1625.699951,1677.300049,1677.300049,414
2013-01-11,1673.099976,1694.599976,1654.199951,1690.400024,1690.400024,197
2013-01-18,1687.400024,1694.699951,1668.000000,1669.500000,1669.500000,138
2013-01-25,1663.000000,1683.000000,1651.599976,1660.599976,1660.599976,190895
2013-02-01,1663.900024,1683.400024,1659.900024,1670.400024,1670.400024,10473
2013-02-08,1671.500000,1672.500000,1632.699951,1634.699951,1634.699951,1953
2013-02-15,1633.199951,1633.900024,1555.199951,1578.199951,1578.199951,1229
2013-02-22,1580.000000,1615.199951,1572.400024,1577.699951,1577.699951,4071
2013-03-01,1579.599976,1585.599976,1566.000000,1574.800049,1574.800049,405
2013-03-08,1578.599976,1596.000000,1561.800049,1590.599976,1590.599976,1790
2013-03-15,1590.500000,1613.800049,1590.199951,1613.800049,1613.800049,968
2013-03-22,1611.000000,1611.000000,1590.300049,1594.800049,1594.800049,216069
2013-03-29,1596.800049,1602.599976,1539.099976,1551.800049,1551.800049,9865
2013-04-05,1553.199951,1589.300049,1550.099976,1564.300049,1564.300049,2688
2013-04-12,1560.800049,1560.800049,1323.000000,1392.000000,1392.000000,3971
2013-04-19,1419.300049,1461.800049,1395.099976,1461.800049,1461.800049,840
2013-04-26,1467.400024,1477.099976,1440.000000,1467.699951,1467.699951,2132
2013-05-03,1465.500000,1487.099976,1441.199951,1468.800049,1468.800049,517
2013-05-10,1455.599976,1459.300049,1370.599976,1387.099976,1387.099976,1376
2013-05-17,1386.699951,1395.699951,1342.900024,1392.000000,1392.000000,174
2013-05-24,1386.800049,1417.500000,1379.099976,1411.500000,1411.500000,168780
2013-05-31,1412.400024,1422.699951,1384.199951,1415.699951,1415.699951,55167
2013-06-07,1411.500000,1416.099976,1366.000000,1377.599976,1377.599976,3308
2013-06-14,1383.900024,1390.500000,1275.400024,1285.900024,1285.900024,1206
2013-06-21,1280.400024,1300.000000,1198.300049,1211.400024,1211.400024,3423
2013-06-28,1200.900024,1266.300049,1183.199951,1252.099976,1252.099976,1022
2013-07-05,1252.699951,1285.000000,1208.900024,1280.099976,1280.099976,240
2013-07-12,1282.300049,1294.400024,1272.900024,1284.599976,1284.599976,67
2013-07-19,1291.699951,1343.500000,1290.000000,1329.000000,1329.000000,105
2013-07-26,1326.500000,1338.400024,1304.900024,1311.000000,1311.000000,185501
2013-08-02,1306.699951,1318.300049,1274.000000,1310.699951,1310.699951,6220
2013-08-09,1315.099976,1369.599976,1306.699951,1361.599976,1361.599976,1785
2013-08-16,1366.800049,1384.400024,1355.000000,1371.199951,1371.199951,781
2013-08-23,1376.800049,1428.000000,1373.900024,1412.900024,1412.900024,1346
2013-08-30,1407.199951,1414.400024,1367.099976,1373.099976,1373.099976,618
2013-09-06,1371.000000,1390.099976,1322.400024,1330.400024,1330.400024,214
2013-09-13,1322.900024,1373.000000,1292.099976,1369.400024,1369.400024,318
2013-09-20,1347.500000,1347.500000,1309.400024,1323.599976,1323.599976,227
2013-09-27,1321.500000,1350.900024,1280.000000,1317.400024,1317.400024,17724
2013-10-04,1316.199951,1330.000000,1285.000000,1296.599976,1296.599976,536
2013-10-11,1286.900024,1322.699951,1254.099976,1322.699951,1322.699951,654
2013-10-18,1318.800049,1350.199951,1312.599976,1350.199951,1350.199951,228
2013-10-25,1346.199951,1359.699951,1321.699951,1323.599976,1323.599976,276
2013-11-01,1325.699951,1325.699951,1298.000000,1308.400024,1308.400024,231
2013-11-08,1308.000000,1308.099976,1268.300049,1286.199951,1286.199951,176
2013-11-15,1287.699951,1288.500000,1236.500000,1243.500000,1243.500000,185
2013-11-22,1243.199951,1254.800049,1229.000000,1237.800049,1237.800049,178603
2013-11-29,1237.800049,1254.500000,1212.900024,1233.199951,1233.199951,100268
2013-12-06,1228.699951,1267.000000,1213.000000,1226.000000,1226.000000,2859
2013-12-13,1226.699951,1250.599976,1188.699951,1195.000000,1195.000000,1433
2013-12-20,1190.900024,1215.900024,1190.900024,1214.099976,1214.099976,635
2013-12-27,1213.400024,1227.300049,1182.000000,1225.000000,1225.000000,893
